id,doc_id,ref,sent_index,text,metadata_json
mobility-force-aviator-27bd37197c:2.1:0:b032b7c9,mobility-force-aviator-27bd37197c,2.1,0.0,"[MOBILITY FORCE AVIATOR | Duty 2.1 | Skills: 1,3,5] Performs aircraft inspections.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.1"", ""sent_index"": 0, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""abf61db702142f3df38f37e8f034e4c72b90f3ee"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.1:1:1c90928f,mobility-force-aviator-27bd37197c,2.1,1.0,"[MOBILITY FORCE AVIATOR | Duty 2.1 | Skills: 1,3,5] Performs aircrew visual inspection; non-scheduled aircraft maintenance; and preflight, through-flight, and post flight inspections of aircraft away from home station.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.1"", ""sent_index"": 1, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""f224d1e1187e20c21c203c49a4fe899d64560c11"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.1:2:ba0ee680,mobility-force-aviator-27bd37197c,2.1,2.0,"[MOBILITY FORCE AVIATOR | Duty 2.1 | Skills: 1,3,5] Accomplishes preflight and post-flight records and reports.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.1"", ""sent_index"": 2, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""4e71f889a465c1bff8cee112700030a7ecfaa2eb"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.1:3:b7efe1e2,mobility-force-aviator-27bd37197c,2.1,3.0,"[MOBILITY FORCE AVIATOR | Duty 2.1 | Skills: 1,3,5] Maintains aircraft forms and records during flight and while aircraft is away from home station.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.1"", ""sent_index"": 3, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""6e2d47f74a26c8aa7e24319aeda2f3276f11fc7d"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.2:4:88ce6e2c,mobility-force-aviator-27bd37197c,2.2,4.0,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 7,9] Manages cargo and passenger load briefings.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.2"", ""sent_index"": 4, ""skill_digits"": [""7"", ""9""], ""skill_labels"": [""craftsman"", ""superintendent""], ""canonical_duty_id"": ""0edae5e5cbd44d5bcbf2f560ae94c741a2d5c5e5"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.2:5:585768d1,mobility-force-aviator-27bd37197c,2.2,5.0,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 1,3,5] Accomplishes load planning of cargo and passenger loads if required.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.2"", ""sent_index"": 5, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""be381542d1cf90d814f27ef2046abe54c0789bb1"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.2:6:f9c4ac9b,mobility-force-aviator-27bd37197c,2.2,6.0,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 7,9] Supervises cargo and passenger loading for off-loading operations.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.2"", ""sent_index"": 6, ""skill_digits"": [""7"", ""9""], ""skill_labels"": [""craftsman"", ""superintendent""], ""canonical_duty_id"": ""f18d8ff2a967d08743ce9bd0f8dd63a46c36613d"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.2:7:0ec877fc,mobility-force-aviator-27bd37197c,2.2,7.0,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 7,9] Directs the placement of material handling equipment to accomplish cargo on/off loading operations.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.2"", ""sent_index"": 7, ""skill_digits"": [""7"", ""9""], ""skill_labels"": [""craftsman"", ""superintendent""], ""canonical_duty_id"": ""386a52002836658d3ebd59d4d15b104cad081b2a"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.2:8:9b5c90a2,mobility-force-aviator-27bd37197c,2.2,8.0,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 5,7,9] Ensures cargo and passengers are placed according to load plans.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.2"", ""sent_index"": 8, ""skill_digits"": [""5"", ""7"", ""9""], ""skill_labels"": [""journeyman"", ""craftsman"", ""superintendent""], ""canonical_duty_id"": ""86474ad380b5ad8faefd462ea62a2be4b3ccc9fc"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.2:9:18cc0b30,mobility-force-aviator-27bd37197c,2.2,9.0,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 1,3,5,7,9] Determines cargo restraint requirements according to criteria and directs and checks the application of cargo restraint equipment.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.2"", ""sent_index"": 9, ""skill_digits"": [""1"", ""3"", ""5"", ""7"", ""9""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman"", ""craftsman"", ""superintendent""], ""canonical_duty_id"": ""e7d64cd43bdf73fa8ec21650c4f89dc02c83dc00"", ""source_type"": ""duty""}"
