doc_id,cem_code,afsc_title,afsc_codes,afsc_families,skill_digits,skill_labels
aircrew-operations-career-field-9ac1505da6,1A100*,AIRCREW OPERATIONS CAREER FIELD,1A192*;1A172*;1A152*;1A132*;1A112,1A1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;senior_enlisted_leader
mobility-force-aviator-27bd37197c,1A100*,MOBILITY FORCE AVIATOR,1A193*;1A173*;1A153*;1A133*;1A113,1A1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;senior_enlisted_leader
special-mission-aviator-ca90ad358d,,SPECIAL MISSION AVIATOR,,,,
e-mc-130j-acd14fd33b,1A100,E MC-130J,1A174;1A154;1A134;1A178*;1A158*;1A138*;1A890,1A1;1A8,3;5;7;9,apprentice;journeyman;craftsman;superintendent
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,,"SEL AIRBORNE INTELLIGENCE, SURVEILLANCE AND RECONNAISSANCE",1A871*;1A851*;1A831*;1A811,1A8,1;3;5;7,helper;apprentice;journeyman;craftsman
airborne-cryptologic-language-analyst-54981e8af1,,AIRBORNE CRYPTOLOGIC LANGUAGE ANALYST,1A872;1A852;1A832;1A812,1A8,1;3;5;7,helper;apprentice;journeyman;craftsman
airborne-intelligence-surveillance-and-reconnaissance-isr-operator-03280ddbe3,,"AIRBORNE INTELLIGENCE, SURVEILLANCE, AND RECONNAISSANCE (ISR) OPERATOR",,,,
cyber-warfare-career-field-1c3bd0a511,1B000,CYBER WARFARE CAREER FIELD,1B491,1B4,9,superintendent
cyber-warfare-operations-80e7129793,,CYBER WARFARE OPERATIONS,1B491;1B471;1B451;1B431;1B411,1B4,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
cyber-warfare-operations-d403b558c0,,CYBER WARFARE OPERATIONS,,,,
command-and-control-systems-operations-career-field-71daf0b956,1C000,COMMAND AND CONTROL SYSTEMS OPERATIONS CAREER FIELD,1C092;1C072;1C052;1C032;1C012,1C0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
aviation-resource-management-63fed5cb4e,1C100,AVIATION RESOURCE MANAGEMENT,1C191;1C171;1C151;1C131;1C111,1C1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
air-traffic-control-64be7e7ef1,1C300,AIR TRAFFIC CONTROL,1C391;1C371;1C351;1C331;1C311,1C3,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
all-domain-command-and-control-operations-8e81736a84,1C500,ALL-DOMAIN COMMAND AND CONTROL OPERATIONS,1C591;1C571;1C551;1C531;1C511,1C5,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
