doc_id,section,section_ref,text
mobility-force-aviator-27bd37197c,summary,1,"The Lead-MAJCOM for aircraft and mission set will determine the Mobility Force Aviator (MFA) performance tasks as outlined in Master Training Tasks/Task Training Lists associated with Mission Design Series crew positions. Performs preflight and post-flight of aircraft and aircraft systems. Receives cargo/passenger load briefings, checks placement of cargo/passengers against aircraft limitations/restrictions, determines adequacy of cargo documentation. Supervises cargo/passenger loading and offloading activities. Services aircraft (e.g. fuel, water, and hydraulics) and creates load plans for cargo and passengers. Determines and directs cargo placement and restraint equipment requirements. Computes aircraft take-off and landing data/weight and balance. Demonstrates use of aircrew flight equipment.
Accomplishes passenger comfort activities during flight. Performs aircrew functions and other mission specific qualification duties to include the airdrop of personnel and equipment/cargo. Performs in-flight refueling aircrew functions and activities. Monitors and operates complex aircraft instrumentation systems during flight, to include engine and aircraft systems controls, panels, and indicators. Some missions require non-standard configurations and penetration into hostile/denied territories undetected utilizing night vision devices and terrain, following procedures often in close proximity to other aircraft and operations on unprepared surfaces. The hazardous mission and training environment demands high degrees of attention, focus, professionalism, knowledge, skill, discipline, coordination, and stress management to successfully and safely carry out. Related DoD Occupational Subgroup: 105000, 195000, and 105000."
special-mission-aviator-ca90ad358d,summary,1,"The Lead-MAJCOM for aircraft and mission set will determine the Special Mission Aviator (SMA) performance tasks as outlined in Master Training Tasks/Task Training Lists associated with Mission Design Series crew positions.
Mission types may include combat rescue, special operations, personnel recovery, mobility operations, nuclear security, domestic security, distinguished visitor transportation, firefighting, and geospatial intelligence collection. Enabled by either rotary-wing, tiltrotor, or fixed-wing aircraft, the SMA performs a combination of legacy CEA duties including Flight Engineer, Loadmaster, Aerial Gunner, Sensor Operator, Combat Systems Officer, and other specialty skillsets. The SMA can receive cargo/passenger load briefings, check the placement of cargo/passengers against aircraft limitations/restrictions, and determine the adequacy of cargo documentation. Services aircraft with fuel, water, and hydraulics. Computes aircraft take-off and landing data/weight and balance. Demonstrates the use of aircrew flight equipment.
Performs aircrew functions and other mission-specific qualification duties, including personnel and equipment/cargo airdrop. Performs in-flight refueling functions and activities. Monitors and operates complex aircraft instrumentation systems during flight, including engine and aircraft systems controls, panels, and indicators. Employs airborne sensors to actively and/or passively acquire, track, and monitor airborne, maritime, and ground objectives. Operates and monitors various weapons systems. Missions may require atypical aircraft configurations for penetration into hostile and denied territories undetected, utilizing night vision devices and terrain-following procedures. This may also involve other aircraft and operations on unprepared surfaces and runways. To successfully operate in various mission and training environments, a SMA must possess a high degree of professionalism, discipline, attention to detail, knowledge, communication skills, and stress management. Related DoD Occupational Subgroup: 105000."
e-mc-130j-acd14fd33b,summary,1,"The Lead-MAJCOM for aircraft and mission set will determine the Multi-domain Operations Aviator (MOA) performance tasks as outlined in Master Training Tasks/Task Training Lists associated with Mission Design Series crew positions. Performs preflight and post-flight requirements of aircraft and aircraft systems. Performs duties as an aircrew member on manned aircraft or Remotely Piloted Aircraft (RPA). Integrates air, space, and cyber domains at the operational level to plan, coordinate, allocate, task, assess, and monitor mission systems to ensure lethal and non-lethal application of airpower. Performs surveillance, combat identification, weapons control, tactical data link management, communications, and airborne network management. Performs mission planning of aircraft and aircraft systems in accordance with aircraft technical orders, applicable Air Force Instructions (AFIs), and Unified Combatant Commands’ theater Rules of Engagement (ROE). Detects, analyzes and discriminates between valid and invalid targets using radar systems, electro-optical, low light, infrared full motion video imagery, and other active or passive target acquisition and tracking systems. May be responsible for terminal guidance of precision guided munitions. Supervises and instructs personnel on the operation, maintenance, repair, and test procedures of airborne and ground based aircraft systems. Establishes, manages, and supervises aircrew training. Coordinates with maintenance, communication technicians, and intelligence units to satisfy unit training requirements, including weapons and tactics programs. Evaluates aircrew academic, simulation, in-flight performances, and systems capabilities and recommends improvements. Related DoD Occupational Subgroup: 120100."
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,summary,1,"Leads, manages, supervises, and supervises functions and associated with all aspects of airborne ISR operations in garrison and at deployed locations. Ensures personnel are trained, equipped and available to perform assigned missions. Performs duties to develop, sustain and enhance A-ISR capabilities to defend national interests and create effects to achieve national objectives. Advises commanders regarding effectiveness of collection, processing, exploitation, analysis, production and dissemination of air and ground intelligence activities to support commander’s objectives and meet tasked missions. Synchronizes partnerships across AF units, joint functions, interagency organizations, and multinational efforts to support National Defense Strategy. Also see attachment 5 for SEL institutional duties. Related DoD Occupational Subgroups: 123100, 123200, and 155600."
airborne-cryptologic-language-analyst-54981e8af1,summary,1,"Operates, evaluates, and manages airborne signals intelligence information systems and operations activities and related intelligence and analysis activities on ground processing systems. Performs identification, acquisition, recording, translating, analyzing, and reporting of assigned voice communications. Provides signals intelligence threat warning support and interfaces with other units. Performs and assists in mission planning. Maintains assigned aviation publications and currency items and is knowledgeable on DoD/Intelligence Community and Air Force Intelligence regulations. Participates in theater and tactical level ISR coordination networks.
Transcribes, processes, analyzes, and disseminates ISR information obtained from onboard sensors during mission activities and conducts follow-on analysis of assigned communications as required. Related DoD Occupational Subgroup: 123200."
airborne-intelligence-surveillance-and-reconnaissance-isr-operator-03280ddbe3,summary,1,"Operates, evaluates, and manages airborne ISR information systems, operations activities and related intelligence and analysis activities on ground processing systems. Performs identification, acquisition, recording, analysis, and reporting of assigned ISR tasks. Provides ISR threat warning support and interfaces with other units. Performs and assists with mission planning. Maintains assigned aviation publications and currency items and is knowledgeable on DoD/Intelligence Community and Air Force Intelligence regulations.
Participates in theater and tactical-level ISR coordination networks. Processes, analyzes, and disseminates ISR information obtained from onboard sensors during missions activities and conducts follow on analysis of assigned collection as required. Related DoD Occupational Subgroups: 123100, 123200, and 155600."
cyber-warfare-operations-80e7129793,summary,1,"1.1. Manages cyber and information warfare operations in garrison and at deployed locations. Performs duties to develop, sustain, and enhance cyberspace capabilities to defend national interests from attack and to create effects in the cyberspace domain to achieve national objectives. Oversees the execution of Computer Network Operations (CNO)/cryptologic activities, Offensive Cyberspace Operations (OCO), Defensive Cyberspace Operations (DCO), and Department of Defense (DoD) Information Network (DoDIN) Operations for effects. Guides intelligence information analysis and exploitation and aids key operational leader situational awareness. Related DoD Occupational Subgroup: 127000."
cyber-warfare-operations-d403b558c0,summary,1,"1.1. Performs duties to develop, sustain, and enhance cyberspace capabilities to defend national interests from attack and to create effects in cyberspace to achieve national objectives. Plans and conducts Cyber Network Operations (CNO)/cryptologic activities, Offensive Cyberspace Operations (OCO), Defensive Cyberspace Operations (DCO), and Department of Defense (DoD) Information Network (DoDIN) Operations using established tactics, techniques, and procedures to achieve Service, Combatant Command (CCMD), Cyber Mission Force (CMF) and national objectives. Executes command and control (C2) synchronization of assigned cyberspace forces and de-conflicts cyberspace operations across the kinetic and non-kinetic spectrum. Supports cyberspace capability development, testing, and implementation. Partners with Joint, Interagency, Intergovernmental, and Multinational forces to detect, deny, degrade, disrupt, destroy, manipulate, and mitigate adversarial access to sovereign national or partner cyberspace systems. Related DoD Occupational Subgroup: 127000."
aviation-resource-management-63fed5cb4e,summary,1,"Performs and manages a variety of activities in direct support of aviation, parachutist, and missile combat crew operations. The aviation resource management career field is the office of primary responsibility for the following functional areas: flight and parachutist duty incentive pay; flight and jump status authorization; and aircrew, parachutist, missile combat crew duty readiness validation. Related DoD Occupational Subgroup: 155600."
air-traffic-control-64be7e7ef1,summary,1,"Controls en route and terminal air traffic by use of visual, radar, and non-radar means. Supervises and manages air traffic control (ATC) facilities. Related DoD Occupational Subgroup: 122200."
all-domain-command-and-control-operations-8e81736a84,summary,1,"Manages and performs activities within fixed ground, mobile and airborne command and control (C2) facilities such as installation and expeditionary command posts (CP), operations centers, rescue coordination centers, and Higher Headquarters Command Centers/Operations Centers. Provides command, control, communications, and information support throughout the full spectrum of operations to include peacetime, emergency and disaster situations, crisis, contingency, and war. Responsible for emergency action messages from the Chairman of the Joint Chiefs of Staff, Headquarters Air Force, Headquarters Space Force, or Combatant Commands. Disseminates time-sensitive critical information to senior leaders and support agencies. Establishes procedures for Department of the Air Force (DAF) Operational Reporting Program. Reports international treaty compliance information. Uses communications systems and consoles to affect positive control of assigned forces and weapons systems. Supports chemical, biological, radiological, and nuclear (CBRN), and conventional warning and reporting activities. AFSC Duty Identifier: C2OPS. Related DoD Occupational Subgroup: 125000."
battle-management-operations-529fa2b2a9,summary,1,"Oversees and coordinates dynamic high-stakes military operations across various domains which include air, space, land, and sea. Uses radio equipment and digital interfaces to communicate with aircraft and ensure pilots have the latest threat awareness, intelligence, and higher headquarters guidance to accomplish the mission. Merges disparate information flows and interprets data from multiple sensors and inputs, evaluates tactical situations, then makes time-critical decisions that routinely have direct life or death consequences with possible repercussions that range from the tactical level to the strategic. Battle Managers are Joint All-Domain Warfighters who are uniquely skilled force multipliers, force integrators, and decision makers that bring order and make sense from chaos.
Related DoD Occupational Subgroup: 122100."
space-systems-operations-109ad67b73,summary,1,"Manages or performs duties to develop, sustain, and enhance space capabilities to defend national interests from attack and to create effects in the space domain to achieve Service, Combatant Command, and national objectives. Conducts space control, space force enhancement, and space force support operations using established tactics, techniques, and procedures. Related DoD Occupational Subgroup: 122100."
airfield-management-2662fc5d30,summary,1,"Manages airfield operations, coordinates with civil engineering, safety, air traffic control and various other base agencies to ensure safe aircraft operations within the airfield environment and through the national and international airspace systems.
Related DoD Occupational Subgroup: 155600."
radar-airfield-weather-systems-cf7f5c8c3a,summary,1,"Manages system analysis and design, programming, systems operation and maintenance, resource management and security management. Directs activities for installing, maintaining, repairing, overhauling, deploying, and modifying RAWS to include fixed or mobile ground aircraft surveillance and warning radar systems, meteorological, navigational aids, and other associated command, control, and communication (C3) systems. Related DoD Occupational Group: 110000, 110100, 110200, 110300, and 110400."
