doc_id,ref,sent_index,skill_digit,inference_reason,confidence
mobility-force-aviator-27bd37197c,2.1,0,1,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.1,0,3,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.1,0,5,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.1,1,1,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.1,1,3,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.1,1,5,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.1,2,1,verbs=records,medium
mobility-force-aviator-27bd37197c,2.1,2,3,verbs=records,medium
mobility-force-aviator-27bd37197c,2.1,2,5,verbs=records,medium
mobility-force-aviator-27bd37197c,2.1,3,1,verbs=maintains|records,medium
mobility-force-aviator-27bd37197c,2.1,3,3,verbs=maintains|records,medium
mobility-force-aviator-27bd37197c,2.1,3,5,verbs=maintains|records,medium
mobility-force-aviator-27bd37197c,2.2,4,7,verbs=manages,medium
mobility-force-aviator-27bd37197c,2.2,4,9,verbs=manages,medium
mobility-force-aviator-27bd37197c,2.2,5,1,verbs=loads,medium
mobility-force-aviator-27bd37197c,2.2,5,3,verbs=loads,medium
mobility-force-aviator-27bd37197c,2.2,5,5,verbs=loads,medium
mobility-force-aviator-27bd37197c,2.2,6,7,verbs=supervises,medium
mobility-force-aviator-27bd37197c,2.2,6,9,verbs=supervises,medium
mobility-force-aviator-27bd37197c,2.2,7,7,verbs=directs,medium
mobility-force-aviator-27bd37197c,2.2,7,9,verbs=directs,medium
mobility-force-aviator-27bd37197c,2.2,8,5,verbs=plans,medium
mobility-force-aviator-27bd37197c,2.2,8,7,verbs=plans,medium
mobility-force-aviator-27bd37197c,2.2,8,9,verbs=plans,medium
mobility-force-aviator-27bd37197c,2.2,9,1,verbs=checks|determines|directs,high
mobility-force-aviator-27bd37197c,2.2,9,3,verbs=checks|determines|directs,high
mobility-force-aviator-27bd37197c,2.2,9,5,verbs=checks|determines|directs,high
mobility-force-aviator-27bd37197c,2.2,9,7,verbs=checks|determines|directs,high
mobility-force-aviator-27bd37197c,2.2,9,9,verbs=checks|determines|directs,high
mobility-force-aviator-27bd37197c,2.2,10,1,verbs=checks|loads,medium
mobility-force-aviator-27bd37197c,2.2,10,3,verbs=checks|loads,medium
mobility-force-aviator-27bd37197c,2.2,10,5,verbs=checks|loads,medium
mobility-force-aviator-27bd37197c,2.2,11,3,verbs=determines,medium
mobility-force-aviator-27bd37197c,2.2,11,5,verbs=determines,medium
mobility-force-aviator-27bd37197c,2.2,11,7,verbs=determines,medium
mobility-force-aviator-27bd37197c,2.2,11,9,verbs=determines,medium
mobility-force-aviator-27bd37197c,2.2,12,3,verbs=computes,medium
mobility-force-aviator-27bd37197c,2.2,12,5,verbs=computes,medium
mobility-force-aviator-27bd37197c,2.2,12,7,verbs=computes,medium
mobility-force-aviator-27bd37197c,2.2,12,9,verbs=computes,medium
mobility-force-aviator-27bd37197c,2.3,13,3,verbs=computes,medium
mobility-force-aviator-27bd37197c,2.3,13,5,verbs=computes,medium
mobility-force-aviator-27bd37197c,2.3,13,7,verbs=computes,medium
mobility-force-aviator-27bd37197c,2.3,13,9,verbs=computes,medium
mobility-force-aviator-27bd37197c,2.3,14,3,verbs=determines,medium
mobility-force-aviator-27bd37197c,2.3,14,5,verbs=determines,medium
mobility-force-aviator-27bd37197c,2.3,14,7,verbs=determines,medium
mobility-force-aviator-27bd37197c,2.3,14,9,verbs=determines,medium
mobility-force-aviator-27bd37197c,2.3,15,1,verbs=records,medium
mobility-force-aviator-27bd37197c,2.3,15,3,verbs=records,medium
mobility-force-aviator-27bd37197c,2.3,15,5,verbs=records,medium
mobility-force-aviator-27bd37197c,2.4,16,1,verbs=monitors|operates,medium
mobility-force-aviator-27bd37197c,2.4,16,3,verbs=monitors|operates,medium
mobility-force-aviator-27bd37197c,2.4,16,5,verbs=monitors|operates,medium
mobility-force-aviator-27bd37197c,2.4,16,7,verbs=monitors|operates,medium
mobility-force-aviator-27bd37197c,2.4,17,1,verbs=monitors|performs,medium
mobility-force-aviator-27bd37197c,2.4,17,3,verbs=monitors|performs,medium
