doc_id,ref,sent_index,text_for_embedding,metadata_json
mobility-force-aviator-27bd37197c,2.1,0,"[MOBILITY FORCE AVIATOR | Duty 2.1 | Skills: 1,3,5] Performs aircraft inspections.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.1"", ""sent_index"": 0, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.1,1,"[MOBILITY FORCE AVIATOR | Duty 2.1 | Skills: 1,3,5] Performs aircrew visual inspection; non-scheduled aircraft maintenance; and preflight, through-flight, and post flight inspections of aircraft away from home station.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.1"", ""sent_index"": 1, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.1,2,"[MOBILITY FORCE AVIATOR | Duty 2.1 | Skills: 1,3,5] Accomplishes preflight and post-flight records and reports.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.1"", ""sent_index"": 2, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.1,3,"[MOBILITY FORCE AVIATOR | Duty 2.1 | Skills: 1,3,5] Maintains aircraft forms and records during flight and while aircraft is away from home station.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.1"", ""sent_index"": 3, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.2,4,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 7,9] Manages cargo and passenger load briefings.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.2"", ""sent_index"": 4, ""skill_digits"": [""7"", ""9""]}"
mobility-force-aviator-27bd37197c,2.2,5,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 1,3,5] Accomplishes load planning of cargo and passenger loads if required.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.2"", ""sent_index"": 5, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.2,6,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 7,9] Supervises cargo and passenger loading for off-loading operations.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.2"", ""sent_index"": 6, ""skill_digits"": [""7"", ""9""]}"
mobility-force-aviator-27bd37197c,2.2,7,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 7,9] Directs the placement of material handling equipment to accomplish cargo on/off loading operations.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.2"", ""sent_index"": 7, ""skill_digits"": [""7"", ""9""]}"
mobility-force-aviator-27bd37197c,2.2,8,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 5,7,9] Ensures cargo and passengers are placed according to load plans.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.2"", ""sent_index"": 8, ""skill_digits"": [""5"", ""7"", ""9""]}"
mobility-force-aviator-27bd37197c,2.2,9,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 1,3,5,7,9] Determines cargo restraint requirements according to criteria and directs and checks the application of cargo restraint equipment.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.2"", ""sent_index"": 9, ""skill_digits"": [""1"", ""3"", ""5"", ""7"", ""9""]}"
mobility-force-aviator-27bd37197c,2.2,10,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 1,3,5] Checks cargo/passenger loads against manifests.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.2"", ""sent_index"": 10, ""skill_digits"": [""1"", ""3"", ""5""]}"
